order_id,date,customer_age,product_category,region,quantity,unit_price,discount_pct,payment_method,order_status,customer_satisfaction,return_flag,revenue
10057,2022-02-22 01:20:28.023352,43.0,Electronics,,13.0,117.02,0.335,Credit Card,Cancelled,1.0,0.0,1011.64
10058,2022-02-22 23:15:33.778148,70.0,Clothing,North,6.0,13.25,0.201,PayPal,completed,4.0,0.0,63.52
10059,2022-02-23 21:10:39.532944,19.0,Books,West,17.0,44.64,0.006,Credit Card,Refunded,,0.0,754.33
10060,2022-02-24 19:05:45.287739,,Food,North,14.0,4.52,0.321,Credit Card,Refunded,1.0,0.0,42.97
10061,2022-02-25 17:00:51.042535,45.0,Food,Central,17.0,294.0,0.392,PayPal,PENDING,2.0,0.0,3038.78
10062,2022-02-26 14:55:56.797331,64.0,Electronics,South,8.0,140.87,,crypto,Cancelled,5.0,0.0,854.24
10063,2022-02-27 12:51:02.552126,24.0,Toys,Central,11.0,897.96,0.201,,completed,,1.0,7892.17
10064,2022-02-28 10:46:08.306922,61.0,Toys,West,1.0,165.02,0.351,PayPal,Completed,,0.0,107.1
10065,2022-03-01 08:41:14.061718,25.0,Home,Central,7.0,8.54,0.381,Cash,PENDING,1.0,1.0,37.0
10066,2022-03-02 06:36:19.816513,,Books,West,17.0,73.88,0.302,Credit Card,Cancelled,5.0,1.0,876.66
10067,2022-03-03 04:31:25.571309,52.0,Toys,West,10.0,11.01,0.178,Credit Card,Completed,2.0,0.0,90.5
10068,2022-03-04 02:26:31.326105,31.0,Sports,West,11.0,220.0,0.237,PayPal,Cancelled,,0.0,1846.46
10069,2022-03-05 00:21:37.080900,34.0,Toys,West,9.0,8.83,0.28,PayPal,PENDING,2.0,0.0,57.22
10070,2022-03-05 22:16:42.835696,53.0,Food,West,9.0,8.34,0.078,Cash,Completed,4.0,1.0,69.21
10071,2022-03-06 20:11:48.590492,67.0,Electronics,South,5.0,13332.780000538936,0.179,crypto,PENDING,5.0,0.0,19.7
10072,2022-03-07 18:06:54.345287,57.0,Sports,North,17.0,18.43,0.332,Debit Card,Cancelled,3.0,0.0,209.29
10073,2022-03-08 16:02:00.100083,21.0,Home,East,9.0,14.48,0.262,crypto,Refunded,4.0,0.0,96.18
10074,2022-03-09 13:57:05.854879,19.0,Books,North,17.0,7.29,0.164,Credit Card,Pending,5.0,,103.61
10075,2022-03-10 11:52:11.609674,23.0,Home,West,19.0,360.6,0.265,PayPal,Refunded,1.0,0.0,5035.78
10076,2022-03-11 09:47:17.364470,71.0,Food,South,7.0,62.54,0.047,Cash,PENDING,1.0,0.0,417.2
10077,2022-03-12 07:42:23.119266,59.0,Sports,Central,9.0,54.31,0.161,crypto,PENDING,2.0,0.0,410.09
10078,2022-03-13 05:37:28.874061,21.0,Sports,South,7.0,222.96,0.317,Cash,PENDING,,0.0,1065.97
10079,2022-03-14 03:32:34.628857,71.0,Sports,,13.0,45.04,0.088,crypto,Completed,3.0,0.0,533.99
10080,2022-03-15 01:27:40.383653,46.0,Food,South,11.0,13.49,0.074,Credit Card,completed,1.0,1.0,137.41
10081,2022-03-15 23:22:46.138448,35.0,Food,South,14.0,4.3,0.38,Debit Card,PENDING,5.0,1.0,37.32
10082,2022-03-16 21:17:51.893244,43.0,Home,West,19.0,12.6,0.084,Cash,Refunded,,1.0,219.29
10083,2022-03-17 19:12:57.648040,61.0,Clothing,South,11.0,201.64,0.104,Cash,Pending,,0.0,1987.36
10084,2022-03-18 17:08:03.402835,51.0,Home,East,13.0,7.34,,Debit Card,PENDING,5.0,0.0,58.4
10085,2022-03-19 15:03:09.157631,27.0,Books,East,14.0,50.59,0.294,Cash,PENDING,,0.0,500.03
10086,2022-03-20 12:58:14.912427,53.0,Electronics,South,13.0,114.52,0.28,Cash,PENDING,1.0,0.0,1071.91
10087,2022-03-21 10:53:20.667222,,Sports,Central,1.0,46.64,0.341,crypto,Completed,5.0,0.0,30.74
10088,2022-03-22 08:48:26.422018,48.0,Clothing,West,8.0,53.45,0.046,crypto,PENDING,5.0,0.0,407.93
10089,2022-03-23 06:43:32.176814,65.0,Electronics,East,12.0,72.73,0.282,Debit Card,Refunded,2.0,0.0,626.64
10090,2022-03-24 04:38:37.931609,32.0,Clothing,Central,19.0,52.2,0.201,,Cancelled,3.0,0.0,792.45
10091,2022-03-25 02:33:43.686405,25.0,Toys,South,12.0,228.35,0.332,Cash,completed,2.0,0.0,1830.45
10092,2022-03-26 00:28:49.441201,31.0,Toys,Central,8.0,9.5,0.203,Credit Card,PENDING,3.0,,60.57
10093,2022-03-26 22:23:55.195996,40.0,Beauty,North,8.0,44.19,,Debit Card,Completed,5.0,0.0,265.85
10094,2022-03-27 20:19:00.950792,74.0,Toys,East,13.0,3.74,0.191,Debit Card,Refunded,,,39.33
10095,2022-03-28 18:14:06.705587,57.0,Home,South,12.0,2.75,0.191,crypto,PENDING,3.0,1.0,26.7
10096,2022-03-29 16:09:12.460383,38.0,Toys,West,16.0,30.02,0.307,Cash,Completed,5.0,0.0,332.86
10097,2022-03-30 14:04:18.215179,33.0,Food,South,1.0,63.56,0.251,PayPal,Cancelled,5.0,0.0,47.61
10098,2022-03-31 11:59:23.969974,62.0,Sports,West,13.0,234.35,0.253,Debit Card,Pending,2.0,0.0,2275.77
10099,2022-04-01 09:54:29.724770,35.0,Home,South,7.0,604.11,0.18,Cash,PENDING,2.0,1.0,3467.59
10100,2022-04-02 07:49:35.479566,64.0,Electronics,,5.0,161.39,0.212,,Refunded,,0.0,635.88
10101,2022-04-03 05:44:41.234361,70.0,Beauty,Central,8.0,79.25,0.298,,Completed,4.0,,445.07
10102,2022-04-04 03:39:46.989157,41.0,Beauty,,14.0,40.12,0.33,Credit Card,Completed,1.0,0.0,376.33
10103,2022-04-05 01:34:52.743953,43.0,Beauty,North,13.0,5.27,0.279,Debit Card,PENDING,4.0,1.0,49.4
10104,2022-04-05 23:29:58.498748,42.0,Electronics,West,15.0,27.79,0.37,Debit Card,Completed,4.0,1.0,262.62
10105,2022-04-06 21:25:04.253544,62.0,Electronics,Central,17.0,155.78,0.328,Credit Card,Pending,,0.0,1779.63
10106,2022-04-07 19:20:10.008340,58.0,Electronics,North,15.0,97.31,,Debit Card,Completed,3.0,0.0,1131.23
10107,2022-04-08 17:15:15.763135,46.0,Electronics,West,18.0,7.07,0.269,Cash,completed,,0.0,93.03
10108,2022-04-09 15:10:21.517931,32.0,Beauty,South,18.0,69.19,0.371,,completed,,0.0,783.37
10109,2022-04-10 13:05:27.272727,62.0,Beauty,North,2.0,62.43,0.248,crypto,Completed,5.0,0.0,93.89
10110,2022-04-11 11:00:33.027522,18.0,Clothing,East,4.0,50.39,0.33,Cash,PENDING,5.0,1.0,135.05
10111,2022-04-12 08:55:38.782318,42.0,Home,North,1.0,32.03,0.276,PayPal,completed,5.0,0.0,23.19
10112,2022-04-13 06:50:44.537114,24.0,Sports,North,4.0,73.6,0.221,Debit Card,Refunded,1.0,,229.34
10113,2022-04-14 04:45:50.291909,26.0,Toys,West,18.0,76.46,0.097,Debit Card,completed,3.0,1.0,1242.78
10114,2022-04-15 02:40:56.046705,41.0,Toys,South,5.0,15.34,0.17,crypto,Completed,3.0,0.0,63.66
10115,2022-04-16 00:36:01.801501,18.0,Food,East,19.0,57.17,0.387,crypto,PENDING,5.0,,665.86
10116,2022-04-16 22:31:07.556296,61.0,Beauty,Central,15.0,26.38,0.263,Credit Card,Cancelled,4.0,0.0,291.63
10117,2022-04-17 20:26:13.311092,25.0,Food,Central,8.0,5.56,0.226,Credit Card,PENDING,1.0,1.0,34.43
10118,2022-04-18 18:21:19.065888,,Home,North,17.0,16.88,0.373,Credit Card,PENDING,4.0,0.0,179.92
10119,2022-04-19 16:16:24.820683,28.0,Home,West,1.0,5.07,0.235,crypto,PENDING,2.0,0.0,3.88
10120,2022-04-20 14:11:30.575479,68.0,Food,West,12.0,107.35,0.21,Credit Card,Refunded,3.0,0.0,1017.68
10121,2022-04-21 12:06:36.330275,34.0,Beauty,Central,19.0,50.76,0.304,Credit Card,Pending,3.0,0.0,671.25
10122,2022-04-22 10:01:42.085070,25.0,Food,East,15.0,21.62,,PayPal,Completed,4.0,0.0,231.87
10123,2022-04-23 07:56:47.839866,52.0,Toys,South,9.0,182.11,0.077,,Pending,1.0,0.0,1512.79
10124,2022-04-24 05:51:53.594662,52.0,Clothing,East,7.0,35.93,0.189,Debit Card,Cancelled,3.0,0.0,203.97
10125,2022-04-25 03:46:59.349457,50.0,Toys,,2.0,5.94,,crypto,Pending,4.0,,9.63
10126,2022-04-26 01:42:05.104253,,Books,Central,9.0,19.54,0.151,Cash,Completed,,0.0,149.31
10127,2022-04-26 23:37:10.859049,59.0,Beauty,South,10.0,234.96,0.207,PayPal,Completed,,0.0,1863.23
10128,2022-04-27 21:32:16.613844,,Beauty,West,2.0,14.83,0.165,crypto,Cancelled,1.0,0.0,24.77
10129,2022-04-28 19:27:22.368640,,Sports,North,19.0,46.07,0.08,crypto,Completed,4.0,1.0,805.3
10130,2022-04-29 17:22:28.123436,45.0,Electronics,North,11.0,80.85,0.165,Debit Card,Cancelled,,,742.61
10131,2022-04-30 15:17:33.878231,24.0,Books,,13.0,67.22,0.029,Credit Card,Cancelled,1.0,0.0,848.52
10132,2022-05-01 13:12:39.633027,26.0,Home,West,10.0,626.0,0.23,Debit Card,Completed,5.0,0.0,4820.2
10133,2022-05-02 11:07:45.387823,25.0,Beauty,East,14.0,8.07,,Credit Card,completed,1.0,0.0,74.45
10134,2022-05-03 09:02:51.142618,29.0,Food,West,18.0,9.1,0.29,Credit Card,Cancelled,2.0,0.0,116.3
10135,2022-05-04 06:57:56.897414,51.0,Books,North,19.0,8.23,0.144,crypto,Completed,5.0,1.0,133.85
10136,2022-05-05 04:53:02.652210,50.0,Sports,North,9.0,23.22,0.035,Credit Card,completed,4.0,0.0,201.67
10137,2022-05-06 02:48:08.407005,,Home,West,7.0,123.87,0.081,PayPal,Cancelled,5.0,,796.86
10138,2022-05-07 00:43:14.161801,72.0,Electronics,West,3.0,9.6,,PayPal,completed,5.0,0.0,22.52
10139,2022-05-07 22:38:19.916597,,Electronics,,6.0,125.97,0.083,PayPal,Refunded,4.0,,693.09
10140,2022-05-08 20:33:25.671392,41.0,Sports,,2.0,34.54,0.218,crypto,PENDING,4.0,0.0,54.02
10141,2022-05-09 18:28:31.426188,54.0,Sports,Central,6.0,8.75,0.093,Debit Card,Refunded,,1.0,47.62
10142,2022-05-10 16:23:37.180984,,Food,Central,3.0,4.05,0.34,Cash,completed,2.0,,8.02
10143,2022-05-11 14:18:42.935779,61.0,Beauty,,16.0,5.3,0.159,,Cancelled,4.0,,71.32
10144,2022-05-12 12:13:48.690575,57.0,Electronics,Central,8.0,14.89,0.098,Cash,Completed,3.0,0.0,107.45
10145,2022-05-13 10:08:54.445371,39.0,Home,North,2.0,27.03,0.325,,Pending,3.0,0.0,36.49
10146,2022-05-14 08:04:00.200166,44.0,Books,North,17.0,166.55,0.137,,Completed,2.0,0.0,2443.46
10147,2022-05-15 05:59:05.954962,52.0,Home,West,9.0,86.39,0.045,crypto,Pending,1.0,0.0,742.52
10148,2022-05-16 03:54:11.709758,18.0,Clothing,West,12.0,12.1,0.228,PayPal,Pending,1.0,0.0,112.09
10149,2022-05-17 01:49:17.464553,,Clothing,West,3.0,54.08,0.233,PayPal,Cancelled,3.0,0.0,124.44
10150,2022-05-17 23:44:23.219349,54.0,Sports,East,11.0,240.29,0.286,Debit Card,completed,4.0,0.0,1887.24
10151,2022-05-18 21:39:28.974145,64.0,Food,Central,1.0,313.78,0.096,crypto,Completed,2.0,0.0,283.66
10152,2022-05-19 19:34:34.728940,31.0,Clothing,West,13.0,22.71,0.178,crypto,completed,1.0,0.0,242.68
10153,2022-05-20 17:29:40.483736,20.0,Electronics,South,15.0,104.58,0.113,Credit Card,Refunded,1.0,0.0,1391.44
10154,2022-05-21 15:24:46.238532,18.0,Home,South,5.0,175.55,0.032,PayPal,Cancelled,5.0,0.0,849.66
10155,2022-05-22 13:19:51.993327,22.0,Home,North,17.0,5.43,0.351,Debit Card,Cancelled,3.0,0.0,59.91
10156,2022-05-23 11:14:57.748123,43.0,Sports,Central,6.0,17.91,0.292,,Refunded,4.0,0.0,76.08
10157,2022-05-24 09:10:03.502919,72.0,Beauty,West,11.0,475.34,0.121,PayPal,Completed,2.0,0.0,4596.06
10158,2022-05-25 07:05:09.257714,31.0,Beauty,South,18.0,23.08,0.24,Credit Card,PENDING,1.0,,315.73
10159,2022-05-26 05:00:15.012510,56.0,Books,Central,4.0,0.99,0.081,crypto,Refunded,5.0,,3.64
10160,2022-05-27 02:55:20.767306,44.0,Sports,North,3.0,28.64,,Debit Card,Completed,3.0,,55.33
10161,2022-05-28 00:50:26.522101,26.0,Toys,East,13.0,127.68,0.046,PayPal,Pending,3.0,1.0,1583.49
10162,2022-05-28 22:45:32.276897,32.0,Books,Central,9.0,33.38,,,Cancelled,2.0,0.0,299.82
10163,2022-05-29 20:40:38.031693,32.0,Toys,Central,6.0,78.13,0.201,Credit Card,Completed,1.0,0.0,374.56
10164,2022-05-30 18:35:43.786488,43.0,Beauty,East,12.0,102.09,0.233,Credit Card,completed,2.0,0.0,939.64
10165,2022-05-31 16:30:49.541284,59.0,Sports,Central,2.0,21.63,0.232,PayPal,completed,2.0,0.0,33.22
10166,2022-06-01 14:25:55.296080,30.0,Toys,North,3.0,17.76,0.022,Cash,Cancelled,,0.0,52.11
10167,2022-06-02 12:21:01.050875,68.0,Sports,North,3.0,39.81,0.126,Credit Card,Refunded,5.0,0.0,104.38
10168,2022-06-03 10:16:06.805671,49.0,Sports,East,12.0,40.99,0.2,Debit Card,PENDING,3.0,0.0,393.5
10169,2022-06-04 08:11:12.560467,56.0,Beauty,West,15.0,35.34,0.087,Credit Card,Refunded,,0.0,483.98
10170,2022-06-05 06:06:18.315262,66.0,Books,South,9.0,37.12,,Cash,Completed,4.0,1.0,217.49
10171,2022-06-06 04:01:24.070058,69.0,Books,West,8.0,13.49,0.035,crypto,Refunded,3.0,0.0,104.14
10172,2022-06-07 01:56:29.824854,49.0,Sports,Central,11.0,81.48,0.195,crypto,Cancelled,3.0,0.0,721.51
10173,2022-06-07 23:51:35.579649,21.0,Clothing,South,16.0,67.97,0.277,PayPal,Completed,5.0,0.0,786.28
10174,2022-06-08 21:46:41.334445,47.0,Food,East,4.0,6.66,0.105,Cash,Pending,4.0,0.0,23.84
10175,2022-06-09 19:41:47.089241,,Beauty,East,1.0,20.76,0.25,Credit Card,Refunded,1.0,0.0,15.57
10176,2022-06-10 17:36:52.844036,40.0,Food,South,7.0,37.03,0.332,Credit Card,Refunded,4.0,,173.15
10177,2022-06-11 15:31:58.598832,,Food,North,2.0,17.44,0.076,crypto,PENDING,1.0,0.0,32.23
10178,2022-06-12 13:27:04.353628,62.0,Books,South,5.0,71.15,0.367,crypto,Completed,4.0,0.0,225.19
10179,2022-06-13 11:22:10.108423,32.0,Books,Central,7.0,30.56,0.221,Debit Card,completed,2.0,0.0,166.64
10180,2022-06-14 09:17:15.863219,60.0,Clothing,North,4.0,40.56,0.12,crypto,Refunded,4.0,0.0,142.77
10181,2022-06-15 07:12:21.618015,46.0,Food,East,5.0,20.47,0.172,Debit Card,Cancelled,,1.0,84.75
10182,2022-06-16 05:07:27.372810,53.0,Food,South,1.0,12568.65451839201,0.125,Credit Card,Refunded,,0.0,2.65
10183,2022-06-17 03:02:33.127606,30.0,Sports,West,1.0,2.83,0.29,Debit Card,PENDING,5.0,1.0,2.01
10184,2022-06-18 00:57:38.882402,49.0,Books,West,15.0,67.19,0.319,Debit Card,Pending,1.0,,686.35
10185,2022-06-18 22:52:44.637197,24.0,Food,Central,19.0,45.62,0.333,PayPal,PENDING,3.0,1.0,578.14
10186,2022-06-19 20:47:50.391993,68.0,Home,West,10.0,56.06,0.394,crypto,Refunded,5.0,0.0,339.72
10187,2022-06-20 18:42:56.146788,39.0,Clothing,,18.0,38.91,0.317,Debit Card,completed,,0.0,478.36
10188,2022-06-21 16:38:01.901584,45.0,Toys,South,3.0,42.84,0.241,Credit Card,Refunded,,0.0,97.55
10189,2022-06-22 14:33:07.656380,19.0,Home,West,11.0,105.94,0.136,Cash,Completed,1.0,0.0,1006.85
10190,2022-06-23 12:28:13.411175,59.0,Home,South,15.0,56.46,0.218,Debit Card,Refunded,,1.0,662.28
10191,2022-06-24 10:23:19.165971,62.0,Toys,Central,11.0,115.48,0.016,crypto,completed,,1.0,1249.96
10192,2022-06-25 08:18:24.920767,74.0,Beauty,,17.0,40.68,0.298,PayPal,Completed,1.0,1.0,485.48
10193,2022-06-26 06:13:30.675562,70.0,Beauty,Central,17.0,23.09,0.178,Credit Card,Cancelled,,1.0,322.66
10194,2022-06-27 04:08:36.430358,,Clothing,Central,6.0,41.81,0.008,PayPal,Completed,3.0,0.0,248.85
10195,2022-06-28 02:03:42.185154,45.0,Home,South,5.0,12.14,0.025,Cash,PENDING,2.0,0.0,59.18
10196,2022-06-28 23:58:47.939949,,Food,North,8.0,20.99,,Debit Card,Pending,5.0,0.0,141.89
10197,2022-06-29 21:53:53.694745,61.0,Books,,2.0,40.98,0.233,Debit Card,PENDING,3.0,,62.86
10198,2022-06-30 19:48:59.449541,61.0,Clothing,East,16.0,40.33,0.186,crypto,Completed,3.0,1.0,525.26
10199,2022-07-01 17:44:05.204336,37.0,Sports,South,12.0,29.15,0.248,Debit Card,Cancelled,2.0,0.0,263.05
10200,2022-07-02 15:39:10.959132,47.0,Toys,South,6.0,6.26,0.192,Credit Card,Refunded,5.0,1.0,30.35
10201,2022-07-03 13:34:16.713928,28.0,Home,South,1.0,71.07,0.265,Cash,Completed,3.0,1.0,52.24
10202,2022-07-04 11:29:22.468723,72.0,Clothing,,4.0,90.11,0.088,PayPal,PENDING,,,328.72
10203,2022-07-05 09:24:28.223519,,Electronics,South,17.0,238.04,0.045,Cash,Completed,2.0,1.0,3864.58
10204,2022-07-06 07:19:33.978315,42.0,Electronics,North,13.0,56.27,0.239,Debit Card,Completed,5.0,0.0,556.68
10205,2022-07-07 05:14:39.733110,56.0,Beauty,West,18.0,33.17,0.194,PayPal,Completed,4.0,0.0,481.23
10206,2022-07-08 03:09:45.487906,50.0,Toys,East,5.0,9.82,0.011,crypto,Cancelled,1.0,0.0,48.56
10207,2022-07-09 01:04:51.242702,18.0,Books,North,3.0,198.43,0.152,Cash,completed,,0.0,504.81
10208,2022-07-09 22:59:56.997497,,Food,West,11.0,44.59,0.042,PayPal,completed,2.0,0.0,469.89
10209,2022-07-10 20:55:02.752293,44.0,Books,North,13.0,41.76,0.213,PayPal,Completed,1.0,0.0,427.25
10210,2022-07-11 18:50:08.507089,74.0,Books,North,4.0,24.41,0.158,,Cancelled,4.0,1.0,82.21
10211,2022-07-12 16:45:14.261884,69.0,Books,East,14.0,22.61,0.245,Credit Card,Cancelled,3.0,0.0,238.99
10212,2022-07-13 14:40:20.016680,30.0,Toys,Central,11.0,75.64,0.322,Cash,Completed,3.0,,564.12
10213,2022-07-14 12:35:25.771476,58.0,Books,,10.0,9.72,0.12,PayPal,PENDING,5.0,0.0,85.54
10214,2022-07-15 10:30:31.526271,20.0,Sports,North,19.0,232.88,0.385,Cash,PENDING,2.0,0.0,2721.2
10215,2022-07-16 08:25:37.281067,56.0,Toys,South,18.0,179.29,0.214,PayPal,Pending,2.0,0.0,2536.59
10216,2022-07-17 06:20:43.035863,23.0,Sports,West,6.0,21.65,0.247,crypto,Completed,5.0,0.0,97.81
10217,2022-07-18 04:15:48.790658,25.0,Toys,,15.0,11.74,0.272,crypto,Pending,1.0,0.0,128.2
10218,2022-07-19 02:10:54.545454,44.0,Beauty,South,10.0,2.95,0.267,crypto,PENDING,3.0,0.0,21.62
10219,2022-07-20 00:06:00.300250,26.0,Clothing,North,5.0,7.38,0.204,Debit Card,PENDING,3.0,0.0,29.37
10220,2022-07-20 22:01:06.055045,54.0,Electronics,North,5.0,79.51,0.172,PayPal,Completed,2.0,0.0,329.17
10221,2022-07-21 19:56:11.809841,50.0,Books,North,10.0,48.35,0.022,Debit Card,Pending,2.0,0.0,472.86
10222,2022-07-22 17:51:17.564637,,Beauty,North,5.0,59.88,0.009,Cash,Pending,5.0,1.0,296.71
10223,2022-07-23 15:46:23.319432,59.0,Clothing,Central,3.0,3.62,0.143,,Completed,4.0,0.0,9.31
10224,2022-07-24 13:41:29.074228,61.0,Electronics,,6.0,20.59,,Cash,Pending,1.0,0.0,107.11
10225,2022-07-25 11:36:34.829024,41.0,Home,Central,4.0,170.84,0.155,Cash,Refunded,,1.0,577.44
10226,2022-07-26 09:31:40.583819,32.0,Food,Central,18.0,29.51,0.055,Cash,PENDING,4.0,0.0,501.97
