employee_id,hire_date,department,job_level,employment_type,age,years_experience,education_level,base_salary,bonus_pct,performance_score,remote_days_per_week,training_hours,attrition
EMP0025,2015-03-21 18:03:36.196542,Sales,Lead,Part-time,40.0,27.0,phd,35183.0,0.148,3.0,3.0,5.1,0
EMP0026,2015-03-25 01:48:45.204731,Engineering,Mid,Part-time,40.0,13.0,MASTER,72857.0,0.014,4.0,0.0,16.0,0
EMP0027,2015-03-28 09:33:54.212920,Finance,Manager,Full-time,50.0,6.0,,27402.0,0.277,4.0,4.0,18.1,0
EMP0028,2015-03-31 17:19:03.221110,Engineering,Manager,Contract,40.0,10.0,High School,,0.073,4.0,4.0,15.9,0
EMP0029,2015-04-04 01:04:12.229299,Engineering,Lead,Intern,41.0,29.0,PhD,41459.0,0.114,2.0,4.0,24.8,0
EMP0030,2015-04-07 08:49:21.237488,Finance,Director,Full-time,42.0,24.0,PhD,19904.0,0.009,3.0,,16.6,1
EMP0031,2015-04-10 16:34:30.245677,Marketing,Manager,Contract,52.0,7.0,phd,54958.0,0.006,5.0,,26.4,0
EMP0032,2015-04-14 00:19:39.253867,HR,Lead,Contract,26.0,12.0,bachelor,19795.0,0.252,3.0,2.0,12.8,1
EMP0033,2015-04-17 08:04:48.262056,IT,Lead,Full-time,31.0,16.0,bachelor,45488.0,0.033,3.0,2.0,13.0,0
EMP0034,2015-04-20 15:49:57.270245,IT,Director,Full-time,55.0,8.0,PhD,78298.0,0.13,4.0,,17.9,0
EMP0035,2015-04-23 23:35:06.278434,Sales,Mid,Contract,55.0,18.0,Bachelor,25542.0,0.128,5.0,2.0,8.5,0
EMP0036,2015-04-27 07:20:15.286624,IT,Senior,Contract,59.0,26.0,phd,58006.0,0.084,3.0,4.0,12.1,0
EMP0037,2015-04-30 15:05:24.294813,HR,Director,Intern,39.0,7.0,Master,24416.0,0.262,5.0,5.0,9.4,0
EMP0038,2015-05-03 22:50:33.303002,Legal,Director,Contract,54.0,26.0,bachelor,26942.0,0.14,5.0,5.0,19.3,0
EMP0039,2015-05-07 06:35:42.311191,Operations,Manager,Full-time,56.0,7.0,phd,56307.0,,4.0,0.0,28.2,0
EMP0040,2015-05-10 14:20:51.319381,Legal,Mid,Full-time,51.0,27.0,Bachelor,32792.0,,4.0,1.0,46.4,0
EMP0041,2015-05-13 22:06:00.327570,Finance,Director,Intern,55.0,23.0,,56300.0,0.169,4.0,1.0,3.0,0
EMP0042,2015-05-17 05:51:09.335759,Finance,Director,Intern,62.0,21.0,phd,91169.0,0.088,5.0,,2.4,0
EMP0043,2015-05-20 13:36:18.343949,Marketing,Lead,Intern,,3.0,bachelor,32995.0,0.076,3.0,5.0,13.0,0
EMP0044,2015-05-23 21:21:27.352138,Legal,Senior,Intern,38.0,14.0,,27659.0,0.275,5.0,2.0,19.2,0
EMP0045,2015-05-27 05:06:36.360327,Marketing,Manager,Full-time,57.0,24.0,bachelor,31402.0,0.055,3.0,2.0,17.1,0
EMP0046,2015-05-30 12:51:45.368516,Marketing,Director,Contract,55.0,7.0,Master,20348.0,0.094,4.0,,31.4,0
EMP0047,2015-06-02 20:36:54.376706,Engineering,Lead,Part-time,,28.0,High School,,0.029,5.0,5.0,64.4,0
EMP0048,2015-06-06 04:22:03.384895,Operations,Manager,Full-time,32.0,10.0,MASTER,116235.0,0.187,4.0,2.0,17.2,0
EMP0049,2015-06-09 12:07:12.393084,IT,Director,Part-time,35.0,10.0,MASTER,111912.0,0.218,4.0,,4.3,1
EMP0050,2015-06-12 19:52:21.401273,Marketing,Junior,Part-time,33.0,5.0,phd,49910.0,0.065,4.0,3.0,6.8,0
EMP0051,2015-06-16 03:37:30.409463,HR,Senior,Contract,63.0,0.0,Bachelor,46476.0,0.098,3.0,4.0,10.9,0
EMP0052,2015-06-19 11:22:39.417652,HR,Junior,Part-time,50.0,28.0,PhD,,0.229,4.0,1.0,17.2,0
EMP0053,2015-06-22 19:07:48.425841,Legal,Mid,Intern,58.0,28.0,bachelor,71374.0,0.165,4.0,3.0,45.0,0
EMP0054,2015-06-26 02:52:57.434030,Sales,Senior,Intern,40.0,18.0,PhD,37269.0,0.211,4.0,2.0,7.5,0
EMP0055,2015-06-29 10:38:06.442220,Sales,Manager,Part-time,31.0,12.0,bachelor,57143.0,,3.0,4.0,103.2,0
EMP0056,2015-07-02 18:23:15.450409,HR,Mid,Intern,37.0,6.0,phd,19613.0,0.23,1.0,0.0,19.2,0
EMP0057,2015-07-06 02:08:24.458598,Operations,Junior,Part-time,37.0,29.0,MASTER,36881.0,0.299,4.0,4.0,8.7,0
EMP0058,2015-07-09 09:53:33.466787,Finance,Director,Part-time,39.0,22.0,MASTER,58421.0,0.151,5.0,,32.6,0
EMP0059,2015-07-12 17:38:42.474977,Engineering,Junior,Contract,28.0,11.0,Bachelor,66058.0,0.075,4.0,,15.9,0
EMP0060,2015-07-16 01:23:51.483166,Finance,Mid,Contract,,18.0,MASTER,57270.0,0.027,4.0,0.0,10.5,0
EMP0061,2015-07-19 09:09:00.491355,Operations,Mid,Part-time,54.0,11.0,Bachelor,28790.0,0.092,2.0,5.0,59.5,0
EMP0062,2015-07-22 16:54:09.499545,HR,Director,Intern,51.0,16.0,Master,29201.0,0.246,5.0,0.0,2.5,0
EMP0063,2015-07-26 00:39:18.507734,Marketing,Senior,Intern,52.0,26.0,High School,40713.0,0.175,3.0,1.0,38.4,0
EMP0064,2015-07-29 08:24:27.515923,Finance,Director,Intern,24.0,7.0,phd,52186.0,,3.0,2.0,9.9,0
EMP0065,2015-08-01 16:09:36.524112,HR,Lead,Part-time,29.0,4.0,PhD,62372.0,0.26,3.0,1.0,40.8,0
EMP0066,2015-08-04 23:54:45.532302,Sales,Director,Full-time,43.0,14.0,Master,54963.0,0.118,5.0,,10.1,0
EMP0067,2015-08-08 07:39:54.540491,HR,Mid,Intern,36.0,3.0,MASTER,16883.0,0.066,3.0,1.0,4.7,0
EMP0068,2015-08-11 15:25:03.548680,Operations,Senior,Part-time,51.0,27.0,PhD,29341.0,0.282,,0.0,5.4,0
EMP0069,2015-08-14 23:10:12.556869,IT,Junior,Full-time,42.0,1.0,Bachelor,33610.0,0.001,4.0,1.0,3.1,0
EMP0070,2015-08-18 06:55:21.565059,Marketing,Junior,Part-time,39.0,28.0,phd,45848.0,0.118,3.0,5.0,47.7,0
EMP0071,2015-08-21 14:40:30.573248,Marketing,Junior,Intern,29.0,1.0,MASTER,43287.0,0.279,2.0,1.0,13.7,0
EMP0072,2015-08-24 22:25:39.581437,HR,Senior,Intern,28.0,4.0,MASTER,47140.0,0.215,2.0,5.0,12.0,1
EMP0073,2015-08-28 06:10:48.589626,Marketing,Director,Intern,63.0,13.0,phd,45044.0,0.226,2.0,1.0,0.2,0
EMP0074,2015-08-31 13:55:57.597816,Finance,Manager,Intern,25.0,24.0,MASTER,30525.0,0.287,4.0,0.0,10.5,1
EMP0075,2015-09-03 21:41:06.606005,Operations,Senior,Contract,51.0,26.0,PhD,33665.0,0.22,3.0,,14.4,0
EMP0076,2015-09-07 05:26:15.614194,Finance,Lead,Part-time,33.0,9.0,Bachelor,41214.0,,3.0,1.0,10.6,0
EMP0077,2015-09-10 13:11:24.622383,HR,Director,Full-time,57.0,10.0,phd,25680.0,0.299,4.0,4.0,7.0,0
EMP0078,2015-09-13 20:56:33.630573,Engineering,Mid,Contract,29.0,4.0,Master,40925.0,0.006,2.0,3.0,12.4,0
EMP0079,2015-09-17 04:41:42.638762,Engineering,Manager,Intern,29.0,16.0,Bachelor,40129.0,0.27,2.0,1.0,1.7,0
EMP0080,2015-09-20 12:26:51.646951,Marketing,Manager,Part-time,54.0,3.0,PhD,46089.0,,4.0,,8.1,0
EMP0081,2015-09-23 20:12:00.655141,Sales,Mid,Full-time,29.0,23.0,MASTER,108965.0,,5.0,2.0,1.8,0
EMP0082,2015-09-27 03:57:09.663330,Marketing,Manager,Contract,31.0,21.0,Bachelor,17441.0,0.284,3.0,2.0,63.0,0
EMP0083,2015-09-30 11:42:18.671519,Engineering,Lead,Intern,53.0,2.0,Bachelor,27784.0,0.022,4.0,1.0,3.7,0
EMP0084,2015-10-03 19:27:27.679708,HR,Manager,Full-time,51.0,11.0,Bachelor,15611.0,0.222,5.0,0.0,58.2,0
EMP0085,2015-10-07 03:12:36.687898,Engineering,Mid,Part-time,39.0,16.0,MASTER,47857.0,0.071,5.0,3.0,2.7,0
EMP0086,2015-10-10 10:57:45.696087,IT,Junior,Part-time,52.0,1.0,MASTER,35506.0,,4.0,1.0,42.1,0
EMP0087,2015-10-13 18:42:54.704276,Operations,Mid,Contract,26.0,20.0,phd,38937.0,0.215,3.0,3.0,11.5,0
EMP0088,2015-10-17 02:28:03.712465,HR,Junior,Contract,27.0,1.0,phd,72141.0,0.263,5.0,2.0,3.3,0
EMP0089,2015-10-20 10:13:12.720655,HR,Junior,Full-time,60.0,25.0,bachelor,40341.0,0.026,3.0,1.0,0.2,1
EMP0090,2015-10-23 17:58:21.728844,Sales,Junior,Contract,59.0,7.0,bachelor,34289.0,0.15,5.0,1.0,2.1,0
EMP0091,2015-10-27 01:43:30.737033,Engineering,Lead,Contract,56.0,1.0,High School,47955.0,0.042,3.0,,14.7,0
EMP0092,2015-10-30 09:28:39.745222,Legal,Manager,Contract,44.0,2.0,,52892.0,0.008,1.0,3.0,53.2,0
EMP0093,2015-11-02 17:13:48.753412,Operations,Lead,Full-time,28.0,3.0,MASTER,29152.0,0.025,4.0,0.0,18.4,0
EMP0094,2015-11-06 00:58:57.761601,Engineering,Mid,Full-time,41.0,8.0,Master,74987.0,0.24,4.0,2.0,48.8,0
EMP0095,2015-11-09 08:44:06.769790,Sales,Senior,Contract,29.0,25.0,phd,50281.0,0.145,,2.0,9.8,0
EMP0096,2015-11-12 16:29:15.777979,HR,Mid,Full-time,24.0,5.0,phd,89678.0,0.273,4.0,2.0,9.9,0
EMP0097,2015-11-16 00:14:24.786169,Sales,Lead,Part-time,,24.0,PhD,44095.0,0.223,,2.0,10.1,0
EMP0098,2015-11-19 07:59:33.794358,HR,Lead,Full-time,44.0,4.0,PhD,,0.061,3.0,,37.4,1
EMP0099,2015-11-22 15:44:42.802547,Sales,Mid,Part-time,33.0,29.0,Bachelor,,0.084,4.0,,11.5,0
EMP0100,2015-11-25 23:29:51.810737,Finance,Lead,Full-time,51.0,28.0,,,0.264,4.0,5.0,32.0,0
EMP0101,2015-11-29 07:15:00.818926,Engineering,Manager,Full-time,25.0,0.0,Bachelor,43739.0,0.178,4.0,4.0,11.7,0
EMP0102,2015-12-02 15:00:09.827115,HR,Senior,Contract,42.0,7.0,PhD,59145.0,0.259,5.0,5.0,4.0,0
EMP0103,2015-12-05 22:45:18.835304,Sales,Junior,Full-time,27.0,24.0,High School,64707.0,0.037,5.0,0.0,3.9,0
EMP0104,2015-12-09 06:30:27.843494,HR,Senior,Full-time,42.0,14.0,High School,39502.0,0.199,4.0,0.0,2.4,0
EMP0105,2015-12-12 14:15:36.851683,Operations,Junior,Contract,63.0,29.0,MASTER,21171.0,0.29,4.0,1.0,20.8,0
EMP0106,2015-12-15 22:00:45.859872,Operations,Manager,Intern,29.0,9.0,PhD,25702.0,0.288,5.0,0.0,1.0,0
EMP0107,2015-12-19 05:45:54.868061,Operations,Lead,Contract,27.0,26.0,Master,50540.0,0.235,5.0,5.0,5.6,0
EMP0108,2015-12-22 13:31:03.876251,Operations,Director,Contract,41.0,11.0,bachelor,128594.0,0.155,4.0,5.0,20.6,0
EMP0109,2015-12-25 21:16:12.884440,Marketing,Junior,Full-time,53.0,9.0,PhD,32006.0,0.239,3.0,4.0,12.4,0
EMP0110,2015-12-29 05:01:21.892629,Finance,Senior,Part-time,50.0,8.0,PhD,32001.0,0.284,3.0,5.0,56.1,0
EMP0111,2016-01-01 12:46:30.900818,Finance,Director,Part-time,26.0,6.0,Bachelor,30243.0,0.198,3.0,1.0,4.0,1
EMP0112,2016-01-04 20:31:39.909008,Marketing,Senior,Contract,47.0,6.0,Master,70540.0,0.099,4.0,,82.5,0
EMP0113,2016-01-08 04:16:48.917197,Operations,Junior,Contract,37.0,17.0,,65212.0,0.101,4.0,4.0,14.0,0
EMP0114,2016-01-11 12:01:57.925386,Operations,Junior,Part-time,,2.0,phd,33376.0,0.045,4.0,4.0,18.6,0
EMP0115,2016-01-14 19:47:06.933575,IT,Senior,Full-time,45.0,26.0,Master,62788.0,0.264,4.0,3.0,20.9,0
EMP0116,2016-01-18 03:32:15.941765,Legal,Lead,Full-time,53.0,25.0,MASTER,66019.0,0.027,3.0,4.0,38.7,0
EMP0117,2016-01-21 11:17:24.949954,IT,Lead,Contract,59.0,6.0,PhD,101320.0,0.185,4.0,1.0,0.5,0
EMP0118,2016-01-24 19:02:33.958143,HR,Lead,Full-time,57.0,19.0,bachelor,69155.0,0.156,3.0,2.0,19.9,0
EMP0119,2016-01-28 02:47:42.966333,Legal,Senior,Full-time,47.0,15.0,phd,32625.0,0.105,4.0,1.0,11.5,0
EMP0120,2016-01-31 10:32:51.974522,HR,Lead,Full-time,55.0,11.0,phd,52728.0,0.246,,,56.1,0
EMP0121,2016-02-03 18:18:00.982711,Finance,Lead,Contract,57.0,26.0,Master,78171.0,0.204,4.0,4.0,67.8,0
EMP0122,2016-02-07 02:03:09.990900,Finance,Manager,Full-time,33.0,9.0,phd,44580.0,0.046,4.0,5.0,30.2,0
EMP0123,2016-02-10 09:48:18.999090,Marketing,Junior,Part-time,57.0,28.0,bachelor,90885.0,,3.0,4.0,55.7,1
EMP0124,2016-02-13 17:33:28.007279,IT,Manager,Intern,49.0,13.0,bachelor,46408.0,0.187,3.0,2.0,7.7,0
EMP0125,2016-02-17 01:18:37.015468,Legal,Junior,Full-time,30.0,2.0,PhD,29517.0,0.156,5.0,,11.7,0
EMP0126,2016-02-20 09:03:46.023657,Legal,Lead,Full-time,60.0,0.0,phd,51263.0,0.195,4.0,4.0,3.2,0
EMP0127,2016-02-23 16:48:55.031847,HR,Junior,Full-time,34.0,20.0,phd,25378.0,0.256,1.0,,9.7,0
EMP0128,2016-02-27 00:34:04.040036,HR,Director,Intern,48.0,21.0,MASTER,48378.0,0.178,3.0,5.0,15.1,1
EMP0129,2016-03-01 08:19:13.048225,Operations,Junior,Intern,,16.0,High School,32198.0,0.063,3.0,5.0,14.1,0
EMP0130,2016-03-04 16:04:22.056414,IT,Director,Intern,51.0,18.0,phd,70263.0,0.001,4.0,,16.5,0
EMP0131,2016-03-07 23:49:31.064604,Sales,Director,Intern,23.0,4.0,Bachelor,157153.0,0.03,2.0,4.0,5.2,0
EMP0132,2016-03-11 07:34:40.072793,HR,Director,Full-time,61.0,8.0,PhD,55755.0,0.174,3.0,2.0,3.0,1
EMP0133,2016-03-14 15:19:49.080982,Operations,Senior,Full-time,38.0,25.0,phd,,0.071,3.0,1.0,59.6,0
EMP0134,2016-03-17 23:04:58.089171,Engineering,Senior,Intern,23.0,6.0,,47274.0,0.29,4.0,4.0,7.2,0
EMP0135,2016-03-21 06:50:07.097361,HR,Senior,Contract,53.0,6.0,PhD,,0.032,3.0,0.0,5.6,1
EMP0136,2016-03-24 14:35:16.105550,IT,Manager,Intern,38.0,13.0,Bachelor,93836.0,0.07,2.0,0.0,5.3,0
EMP0137,2016-03-27 22:20:25.113739,Finance,Senior,Intern,33.0,20.0,PhD,53429.0,0.088,3.0,,21.8,0
EMP0138,2016-03-31 06:05:34.121929,Operations,Senior,Intern,62.0,28.0,phd,66589.0,0.229,1.0,0.0,106.9,1
EMP0139,2016-04-03 13:50:43.130118,HR,Manager,Part-time,52.0,3.0,Bachelor,33890.0,0.026,1.0,1.0,20.8,1
EMP0140,2016-04-06 21:35:52.138307,Marketing,Mid,Part-time,51.0,23.0,Master,38909.0,0.153,4.0,,4.9,0
EMP0141,2016-04-10 05:21:01.146496,Operations,Mid,Intern,37.0,18.0,PhD,20785.0,0.07,3.0,1.0,96.3,0
EMP0142,2016-04-13 13:06:10.154686,Operations,Lead,Full-time,24.0,20.0,High School,55628.0,0.185,3.0,1.0,43.2,0
EMP0143,2016-04-16 20:51:19.162875,IT,Junior,Full-time,62.0,19.0,MASTER,34241.0,0.1,3.0,5.0,14.5,0
EMP0144,2016-04-20 04:36:28.171064,IT,Senior,Intern,25.0,26.0,MASTER,34524.0,0.297,3.0,5.0,10.7,1
EMP0145,2016-04-23 12:21:37.179253,Engineering,Manager,Intern,23.0,28.0,bachelor,41038.0,0.146,,5.0,10.1,0
EMP0146,2016-04-26 20:06:46.187443,Engineering,Junior,Full-time,32.0,13.0,Bachelor,84609.0,0.195,2.0,0.0,17.8,0
EMP0147,2016-04-30 03:51:55.195632,Engineering,Manager,Contract,28.0,18.0,Master,72398.0,0.127,4.0,,0.2,0
EMP0148,2016-05-03 11:37:04.203821,Legal,Junior,Part-time,45.0,16.0,Bachelor,48992.0,0.244,3.0,0.0,17.1,0
EMP0149,2016-05-06 19:22:13.212010,Sales,Director,Intern,,15.0,bachelor,74568.0,0.18,3.0,2.0,1.4,0
EMP0150,2016-05-10 03:07:22.220200,HR,Senior,Contract,40.0,6.0,Bachelor,43695.0,0.088,4.0,3.0,2.6,1
EMP0151,2016-05-13 10:52:31.228389,Finance,Lead,Part-time,33.0,6.0,Master,,0.114,1.0,2.0,5.4,1
EMP0152,2016-05-16 18:37:40.236578,Engineering,Lead,Part-time,40.0,8.0,Master,,0.151,5.0,5.0,12.1,1
EMP0153,2016-05-20 02:22:49.244767,Engineering,Manager,Full-time,47.0,16.0,Master,168692.0,0.273,3.0,5.0,19.4,0
EMP0154,2016-05-23 10:07:58.252957,HR,Manager,Intern,30.0,2.0,Bachelor,52296.0,0.157,3.0,3.0,0.4,1
EMP0155,2016-05-26 17:53:07.261146,Engineering,Senior,Full-time,57.0,6.0,MASTER,30254.0,0.179,4.0,5.0,3.8,0
EMP0156,2016-05-30 01:38:16.269335,Legal,Manager,Intern,44.0,10.0,MASTER,65343.0,0.287,5.0,,7.4,0
EMP0157,2016-06-02 09:23:25.277525,Marketing,Director,Full-time,26.0,11.0,MASTER,74529.0,0.241,2.0,,24.7,0
EMP0158,2016-06-05 17:08:34.285714,Sales,Junior,Part-time,39.0,2.0,phd,63839.0,0.018,5.0,5.0,9.7,0
EMP0159,2016-06-09 00:53:43.293903,Engineering,Director,Full-time,43.0,21.0,PhD,43261.0,0.114,4.0,4.0,5.8,0
EMP0160,2016-06-12 08:38:52.302092,Engineering,Lead,Full-time,,6.0,MASTER,25022.0,0.005,,,31.7,0
EMP0161,2016-06-15 16:24:01.310282,Finance,Director,Full-time,62.0,19.0,phd,40331.0,0.084,5.0,4.0,17.3,0
EMP0162,2016-06-19 00:09:10.318471,HR,Lead,Part-time,24.0,14.0,Bachelor,49951.0,0.056,4.0,,14.2,0
EMP0163,2016-06-22 07:54:19.326660,Marketing,Lead,Contract,23.0,27.0,,30291.0,0.129,3.0,0.0,10.1,0
EMP0164,2016-06-25 15:39:28.334849,Operations,Director,Part-time,64.0,5.0,phd,63036.0,0.184,2.0,3.0,11.6,0
EMP0165,2016-06-28 23:24:37.343039,Engineering,Director,Full-time,22.0,12.0,MASTER,60508.0,0.227,3.0,3.0,63.3,0
EMP0166,2016-07-02 07:09:46.351228,IT,Senior,Contract,42.0,25.0,MASTER,27930.0,0.152,4.0,0.0,10.9,1
EMP0167,2016-07-05 14:54:55.359417,Marketing,Senior,Contract,63.0,12.0,Bachelor,23800.0,0.184,2.0,,17.0,0
EMP0168,2016-07-08 22:40:04.367606,Sales,Junior,Full-time,29.0,4.0,Master,81197.0,0.164,3.0,5.0,11.2,1
EMP0169,2016-07-12 06:25:13.375796,Sales,Senior,Intern,34.0,15.0,,40843.0,0.033,2.0,4.0,13.5,0
EMP0170,2016-07-15 14:10:22.383985,IT,Manager,Full-time,36.0,7.0,phd,77464.0,0.169,1.0,,2.8,0
EMP0171,2016-07-18 21:55:31.392174,Sales,Lead,Part-time,44.0,24.0,bachelor,54679.0,0.095,3.0,4.0,12.9,0
EMP0172,2016-07-22 05:40:40.400363,IT,Director,Full-time,41.0,7.0,phd,89602.0,0.042,5.0,2.0,1.6,0
EMP0173,2016-07-25 13:25:49.408553,Legal,Lead,Full-time,23.0,23.0,phd,64851.0,0.01,2.0,0.0,67.7,1
EMP0174,2016-07-28 21:10:58.416742,Sales,Lead,Contract,43.0,25.0,MASTER,83734.0,0.111,5.0,4.0,36.0,1
EMP0175,2016-08-01 04:56:07.424931,Finance,Junior,Part-time,48.0,10.0,MASTER,36238.0,0.289,,,65.6,0
EMP0176,2016-08-04 12:41:16.433121,Marketing,Director,Part-time,62.0,25.0,MASTER,34824.0,0.248,3.0,2.0,15.0,0
EMP0177,2016-08-07 20:26:25.441310,Finance,Senior,Part-time,42.0,7.0,bachelor,65172.0,0.068,,0.0,23.2,0
EMP0178,2016-08-11 04:11:34.449499,Sales,Junior,Intern,,28.0,Master,60284.0,0.023,3.0,0.0,16.0,0
EMP0179,2016-08-14 11:56:43.457688,Legal,Mid,Full-time,36.0,23.0,PhD,46960.0,0.217,4.0,3.0,12.6,1
EMP0180,2016-08-17 19:41:52.465878,Engineering,Junior,Full-time,23.0,20.0,High School,31959.0,0.068,3.0,2.0,15.8,0
EMP0181,2016-08-21 03:27:01.474067,Sales,Lead,Intern,25.0,4.0,phd,55687.0,0.199,3.0,4.0,14.9,0
EMP0182,2016-08-24 11:12:10.482256,Operations,Mid,Contract,63.0,20.0,bachelor,157724.0,0.198,2.0,5.0,6.9,0
EMP0183,2016-08-27 18:57:19.490445,HR,Manager,Part-time,36.0,16.0,MASTER,33405.0,0.218,1.0,,19.3,0
EMP0184,2016-08-31 02:42:28.498635,Operations,Junior,Full-time,,26.0,Master,30988.0,0.239,3.0,2.0,40.5,0
EMP0185,2016-09-03 10:27:37.506824,Legal,Lead,Full-time,45.0,13.0,Master,76980.0,0.102,2.0,5.0,1.6,0
EMP0186,2016-09-06 18:12:46.515013,Sales,Lead,Intern,36.0,7.0,,28756.0,0.267,2.0,3.0,5.9,0
EMP0187,2016-09-10 01:57:55.523202,IT,Senior,Intern,27.0,15.0,Bachelor,43381.0,0.264,2.0,3.0,5.7,1
EMP0188,2016-09-13 09:43:04.531392,Sales,Lead,Part-time,45.0,21.0,bachelor,,0.26,4.0,3.0,26.6,0
EMP0189,2016-09-16 17:28:13.539581,HR,Mid,Part-time,30.0,16.0,phd,30477.0,0.18,,5.0,1.0,0
EMP0190,2016-09-20 01:13:22.547770,IT,Junior,Intern,33.0,12.0,Master,36538.0,,5.0,4.0,4.9,0
EMP0191,2016-09-23 08:58:31.555959,IT,Manager,Contract,41.0,15.0,Master,117190.0,0.279,5.0,4.0,9.6,1
EMP0192,2016-09-26 16:43:40.564149,Legal,Manager,Intern,47.0,7.0,bachelor,76467.0,0.155,3.0,0.0,28.8,0
EMP0193,2016-09-30 00:28:49.572338,Operations,Senior,Intern,58.0,21.0,phd,41659.0,0.147,4.0,3.0,1.0,0
EMP0194,2016-10-03 08:13:58.580527,Sales,Lead,Contract,53.0,17.0,Master,86479.0,0.199,1.0,5.0,20.9,0
EMP0195,2016-10-06 15:59:07.588717,Sales,Lead,Contract,35.0,24.0,PhD,35851.0,0.045,4.0,5.0,25.3,0
EMP0196,2016-10-09 23:44:16.596906,Sales,Junior,Part-time,25.0,27.0,phd,27603.0,0.131,,5.0,28.6,0
EMP0197,2016-10-13 07:29:25.605095,Legal,Mid,Contract,53.0,13.0,bachelor,76328.0,0.196,3.0,5.0,1.5,0
EMP0198,2016-10-16 15:14:34.613284,Marketing,Lead,Contract,37.0,13.0,,41910.0,0.092,2.0,2.0,5.3,0
EMP0199,2016-10-19 22:59:43.621474,HR,Director,Intern,28.0,4.0,Master,40114.0,0.152,4.0,2.0,0.4,1
EMP0200,2016-10-23 06:44:52.629663,Legal,Junior,Contract,59.0,4.0,Bachelor,135777.0,0.238,4.0,1.0,16.8,0
EMP0201,2016-10-26 14:30:01.637852,Legal,Junior,Part-time,61.0,4.0,High School,35446.0,0.052,3.0,1.0,66.8,0
EMP0202,2016-10-29 22:15:10.646041,Legal,Lead,Contract,49.0,9.0,Bachelor,12327.0,0.006,3.0,4.0,40.7,0
EMP0203,2016-11-02 06:00:19.654231,IT,Director,Intern,33.0,15.0,PhD,49710.0,0.251,3.0,4.0,45.3,0
EMP0204,2016-11-05 13:45:28.662420,IT,Junior,Full-time,64.0,8.0,bachelor,28134.0,,3.0,5.0,0.6,0
